1;EVERGREEN NEEDLELEAF FOREST;20,120,20
2;EVERGREEN BROADLEAF FOREST;50,137,50
3;DECIDUOUS NEEDLELEAF FOREST;56,172,110
4;DECIDUOUS BROADLEAF FOREST;58,170,51
5;MIXED FORESTS;74,157,54
6;CLOSED SHRUBLANDS;173,165,125
7;OPEN SHRUBLANDS;205,205,162
8;WOODY SAVANNAS;158,181,112
9;SAVANNAS;192,192,88
10;GRASSLANDS;187,213,146
11;PERMANENT WETLANDS;145,184,187
12;CROPLANDS;215,215,107
13;URBAN AND BUILT-UP;205,0,0
14;CROPLAND/NATURAL VEGETATION MOSAIC;186,227,131
15;SNOW AND ICE;195,195,205
16;BARREN OR SPARSELY VEGETATED;165,165,165
17;WATER BODIES;50,90,190
100;NO DATA;0,0,0
